ticker,index,name
BNCN,RUSSELL2000,BNC Bancorp
BNFT,RUSSELL2000,Benefitfocus Inc
BNK,RUSSELL2000,C1 Financial Inc
BOBE,RUSSELL2000,Bob Evans Farms
BOFI,RUSSELL2000,Bofi Holding
BOJA,RUSSELL2000,Bojangles' Inc
BOOT,RUSSELL2000,Boot Barn Holdings Inc
BOX,RUSSELL2000,Box Inc
BPFH,RUSSELL2000,Boston Private Financial Holdings
BPI,RUSSELL2000,Bridgepoint Education
BPMC,RUSSELL2000,Blueprint Medicines Corp
BRC,RUSSELL2000,Brady Corp
BRCM,SP500,
BREW,RUSSELL2000,Craft Brewers Alliance Inc
BRG,RUSSELL2000,Bluerock Residential Growth Rei
BRK-B,SP500,
BRKL,RUSSELL2000,Brookline Bancorp
BRKS,RUSSELL2000,Brooks Automation
BRS,RUSSELL2000,Bristow Group Inc
BRSS,RUSSELL2000,Global Brass and Copper Holdin
BSET,RUSSELL2000,Bassett Furniture Industries Inc
BSF,RUSSELL2000,Bear State Financial Inc
BSFT,RUSSELL2000,Broadsoft Inc
BSRR,RUSSELL2000,Sierra Bancorp
BSTC,RUSSELL2000,Biospecifics Technologies Corp
BSX,SP500,
BTU,BOTH,Peabody Energy Corp
BTX,RUSSELL2000,Biotime Inc
BURL,RUSSELL2000,Burlington Stores Inc
BUSE,RUSSELL2000,First Busey Corp
BV,RUSSELL2000,Bazaarvoice Inc
BWA,SP500,
BWINB,RUSSELL2000,Baldwin & Lyons
BWLD,RUSSELL2000,Buffalo Wild Wings
BXP,SP500,
BXS,RUSSELL2000,Bancorpsouth Inc
BYD,RUSSELL2000,Boyd Gaming Corp
BZH,RUSSELL2000,Beazer Homes USA
C,SP500,
CA,SP500,
CAC,RUSSELL2000,Camden National Corp
CACB,RUSSELL2000,Cascade Bancorp
CACI,RUSSELL2000,Caci International
CACQ,RUSSELL2000,Caesars Acquisition Company
CAG,SP500,
CAH,SP500,
CAKE,RUSSELL2000,The Cheesecake Factory Inc
CAL,RUSSELL2000,Caleres Inc
CALA,RUSSELL2000,Calithera Biosciences Inc
CALD,RUSSELL2000,Callidus Software
CALM,RUSSELL2000,Cal-Maine Foods
CALX,RUSSELL2000,Calix Inc
CAM,SP500,
CAMP,RUSSELL2000,Calamp Corp
CARA,RUSSELL2000,Cara Therapeutics Inc
CARB,RUSSELL2000,Carbonite Inc
CASH,RUSSELL2000,Meta Financial Group
CASS,RUSSELL2000,Cass Information Systems Inc
CASY,RUSSELL2000,Caseys General Stores
CAT,SP500,
CATM,RUSSELL2000,Cardtronics Inc
CATO,RUSSELL2000,Cato Corp
CATY,RUSSELL2000,Cathay General Bancorp
CAVM,RUSSELL2000,Cavium Inc
CB,SP500,
CBB,RUSSELL2000,Cincinnati Bell Inc
CBE,SP500,
CBF,RUSSELL2000,Capital Bank Financial Corp
CBG,SP500,
CBK,RUSSELL2000,Christopher & Banks Corp
CBM,RUSSELL2000,Cambrex Corp
CBMG,RUSSELL2000,Cellular Biomedicine Group Inc
CBPX,RUSSELL2000,Continental Building Products
CBR,RUSSELL2000,Ciber Inc
CBRL,RUSSELL2000,Cracker Barrel Old Country Store
CBS,SP500,
CBU,RUSSELL2000,Community Bank System
CBYL,RUSSELL2000,Carbylan Therapeutics Inc
